scale,gamma,comparison_type,metric,statistic,value,seed_count
medium_large,0_to_1,paired_delta,wminfr,median,-0.0073796034016556655,5
medium_large,0_to_1,paired_delta,wminfr,std,0.004193795202946044,5
medium_large,0_to_1,paired_delta,wminfr,iqr,0.003734535025780694,5
medium_large,0_to_1,paired_delta,wminfr,min,-0.01076057798773844,5
medium_large,0_to_1,paired_delta,wminfr,max,0.0,5
medium_large,0_to_1,paired_delta,minimum_weighted_mean_fill_rate,mean,-0.006659745763380931,5
medium_large,0_to_1,paired_delta,minimum_weighted_mean_fill_rate,median,-0.0073796034016556655,5
medium_large,0_to_1,paired_delta,minimum_weighted_mean_fill_rate,std,0.004193795202946005,5
medium_large,0_to_1,paired_delta,minimum_weighted_mean_fill_rate,iqr,0.003734535025780694,5
medium_large,0_to_1,paired_delta,minimum_weighted_mean_fill_rate,min,-0.010760577987738329,5
medium_large,0_to_1,paired_delta,minimum_weighted_mean_fill_rate,max,0.0,5
medium_large,0_to_1,paired_delta,inventory,mean,55.22352695011377,5
medium_large,0_to_1,paired_delta,inventory,median,17.60788778282813,5
medium_large,0_to_1,paired_delta,inventory,std,83.31948984902898,5
medium_large,0_to_1,paired_delta,inventory,iqr,74.12452318075566,5
medium_large,0_to_1,paired_delta,inventory,min,-7.01484739523994,5
medium_large,0_to_1,paired_delta,inventory,max,193.0999999999999,5
medium_large,0_to_1,paired_delta,opened_warehouses,mean,0.0,5
medium_large,0_to_1,paired_delta,opened_warehouses,median,0.0,5
medium_large,0_to_1,paired_delta,opened_warehouses,std,0.0,5
medium_large,0_to_1,paired_delta,opened_warehouses,iqr,0.0,5
medium_large,0_to_1,paired_delta,opened_warehouses,min,0.0,5
medium_large,0_to_1,paired_delta,opened_warehouses,max,0.0,5
medium_large,0_to_1,paired_delta,algorithm_runtime,mean,2.695507519997773,5
medium_large,0_to_1,paired_delta,algorithm_runtime,median,1.801776799999061,5
medium_large,0_to_1,paired_delta,algorithm_runtime,std,1.5522199262502852,5
medium_large,0_to_1,paired_delta,algorithm_runtime,iqr,1.8747842999873683,5
medium_large,0_to_1,paired_delta,algorithm_runtime,min,1.2893055000022287,5
medium_large,0_to_1,paired_delta,algorithm_runtime,max,4.954521199993906,5
medium_large,0_to_1,paired_delta,master_runtime,mean,0.6415954799973406,5
medium_large,0_to_1,paired_delta,master_runtime,median,0.3973459999979241,5
medium_large,0_to_1,paired_delta,master_runtime,std,0.34987241378558426,5
medium_large,0_to_1,paired_delta,master_runtime,iqr,0.5541518000100041,5
medium_large,0_to_1,paired_delta,master_runtime,min,0.38205199998628814,5
medium_large,0_to_1,paired_delta,master_runtime,max,1.0975978000060422,5
medium_large,0_to_1,paired_delta,separation_runtime,mean,1.9515698000002886,5
medium_large,0_to_1,paired_delta,separation_runtime,median,1.318168900004821,5
medium_large,0_to_1,paired_delta,separation_runtime,std,1.1987842199625012,5
medium_large,0_to_1,paired_delta,separation_runtime,iqr,1.3321313000051305,5
medium_large,0_to_1,paired_delta,separation_runtime,min,0.7925926000025356,5
medium_large,0_to_1,paired_delta,separation_runtime,max,3.716861799999606,5
medium_large,0_to_1,paired_delta,post_evaluation_wall_runtime,mean,0.3113727599964477,5
medium_large,0_to_1,paired_delta,post_evaluation_wall_runtime,median,0.28201199999602977,5
medium_large,0_to_1,paired_delta,post_evaluation_wall_runtime,std,0.08151171315316932,5
medium_large,0_to_1,paired_delta,post_evaluation_wall_runtime,iqr,0.05884780001360923,5
medium_large,0_to_1,paired_delta,post_evaluation_wall_runtime,min,0.24543819998507388,5
medium_large,0_to_1,paired_delta,post_evaluation_wall_runtime,max,0.44836340002075303,5
medium_large,0_to_1,paired_delta,total_wall_runtime,mean,3.041336439992301,5
medium_large,0_to_1,paired_delta,total_wall_runtime,median,2.269796900000074,5
medium_large,0_to_1,paired_delta,total_wall_runtime,std,1.543995369346437,5
medium_large,0_to_1,paired_delta,total_wall_runtime,iqr,1.8188153999508359,5
medium_large,0_to_1,paired_delta,total_wall_runtime,min,1.580323199988925,5
medium_large,0_to_1,paired_delta,total_wall_runtime,max,5.31094490000396,5
medium_large,0_to_1,paired_delta,penalized_runtime_par2,mean,2.695507519997773,5
medium_large,0_to_1,paired_delta,penalized_runtime_par2,median,1.801776799999061,5
medium_large,0_to_1,paired_delta,penalized_runtime_par2,std,1.5522199262502852,5
